                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1517,                 3.1144,                 1.2907,                0.00687,                0.93333,                0.32441,                 0.2642,                0.68621,                 3.0727,                 1.0089,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                0.95235,                  2.921,                 1.1891,                0.00698,                      1,                0.76448,                0.67184,                0.51029,                 2.9177,                 0.8841,             8.2525e-05,             8.2525e-05,             8.2525e-05
                      3,                0.84277,                 2.5248,                 1.1387,                0.00678,                      1,                0.81249,                0.69535,                0.51403,                 2.8481,                0.87947,             0.00013072,             0.00013072,             0.00013072
                      4,                0.80717,                 1.9586,                 1.1046,                0.00672,                      1,                0.87683,                0.72334,                0.60968,                 2.6615,                0.91918,             0.00017792,             0.00017792,             0.00017792
                      5,                0.70329,                 1.3715,                 1.0737,                      1,                0.22165,                0.98237,                0.78796,                0.69858,                 2.3549,                0.97997,             0.00022414,             0.00022414,             0.00022414
                      6,                0.63951,                  1.281,                 1.0382,                0.98595,                0.55737,                0.98643,                0.81776,                0.66439,                 2.1604,                0.97445,             0.00026936,             0.00026936,             0.00026936
                      7,                0.73563,                 1.1518,                 1.0597,                0.98292,                0.59231,                0.94478,                 0.8193,                0.60153,                 2.0513,                0.91396,              0.0003136,              0.0003136,              0.0003136
                      8,                0.64385,                 1.0046,                 1.0111,                0.99228,                0.59536,                0.95725,                0.84554,                0.56157,                 2.0764,                0.89309,             0.00035684,             0.00035684,             0.00035684
                      9,                0.71071,                  1.059,                 1.0419,                      1,                0.66922,                   0.99,                0.86989,                0.52444,                 2.0791,                0.87125,             0.00039909,             0.00039909,             0.00039909
                     10,                0.66039,                 1.1216,                 1.0384,                      1,                0.81249,                  0.995,                0.87286,                0.56398,                 2.0483,                0.88443,             0.00044036,             0.00044036,             0.00044036
                     11,                 0.6729,                0.87718,                 1.0405,                0.91209,                0.88916,                0.98868,                0.87263,                0.56921,                 1.8187,                0.89412,             0.00048063,             0.00048063,             0.00048063
                     12,                0.66201,                0.85178,                0.99306,                0.87105,                0.89698,                0.97408,                 0.8146,                0.67189,                 1.7685,                0.92155,             0.00051991,             0.00051991,             0.00051991
                     13,                0.69531,                0.94762,                0.98063,                0.94034,                0.94171,                0.98914,                0.81971,                0.65364,                  1.413,                0.93962,              0.0005582,              0.0005582,              0.0005582
                     14,                0.64354,                0.90788,                0.99233,                0.95996,                0.98887,                0.99313,                0.85445,                0.60627,                   1.44,                0.93435,             0.00059551,             0.00059551,             0.00059551
                     15,                0.66534,                0.94578,                 1.0033,                0.98754,                 0.9604,                  0.995,                0.81519,                0.70192,                  1.601,                 0.9994,             0.00063182,             0.00063182,             0.00063182
                     16,                0.57342,                0.94267,                0.93352,                0.98009,                  0.962,                  0.995,                0.84159,                0.66967,                 1.5419,                0.98922,             0.00066714,             0.00066714,             0.00066714
                     17,                0.84996,                 1.1282,                 1.1376,                0.98514,                0.99118,                  0.995,                0.83664,                0.66791,                 1.3787,                0.94787,             0.00070147,             0.00070147,             0.00070147
                     18,                0.64383,                0.89627,                  1.006,                0.98994,                0.99358,                  0.995,                0.84038,                0.66395,                 1.2429,                0.94355,             0.00073482,             0.00073482,             0.00073482
                     19,                0.69098,                0.93511,                 1.0202,                0.96108,                0.99257,                0.99313,                0.84861,                0.66672,                 1.1845,                0.93975,             0.00076717,             0.00076717,             0.00076717
